date,price
2015-09-11,2139.4046915572226
2015-09-14,2075.111135840481
2015-09-15,2308.806537421669
2015-09-16,2322.13013488047
2015-09-17,2322.13013488047
2015-09-18,2486.560386107077
2015-09-21,2680.0080618410348
2015-09-22,2556.889525703695
2015-09-23,2556.889525703695
2015-09-24,2504.121584993273
2015-09-25,2410.986386615064
2015-09-28,2237.7960463612812
2015-09-29,2361.8688824765327
2015-09-30,2310.808189128933
2015-10-01,2209.7573829547428
2015-10-02,2091.9017043749072
2015-10-05,2248.036878346493
2015-10-06,2248.036878346493
2015-10-07,2381.226429158351
2015-10-08,2517.477834084357
2015-10-09,2517.477834084357
2015-10-12,2517.477834084357
2015-10-13,2238.5381592911003
2015-10-14,2238.5381592911003
2015-10-15,2468.844112839169
2015-10-16,2507.625253907189
